OG	OA	OE	OM	TeG	TeP1	TeP2	TeP3	TeP4	TeP5	TeMFC	TeMFT	TeMFA	TeMFM	TaG	TaMFC	TaMFT	TaMFA	TaMFM
0.57	0.46	0.60	0.57	3.82	3.90	4.47	4.28	3.74	2.17	3.19	0.14	0.39	0.28	0.10	0.33	0.02	0.04	0.01
0.58	0.46	0.62	0.57	3.63	4.10	3.57	3.86	4.45	2.36	3.02	0.13	0.43	0.15	0.09	0.30	0.01	0.05	0.01
0.58	0.47	0.62	0.57	4.05	4.58	4.71	4.13	4.35	2.57	3.20	0.24	0.43	0.45	0.10	0.31	0.02	0.05	0.02
0.57	0.45	0.60	0.58	4.03	4.47	4.09	4.49	4.56	2.23	3.34	0.22	0.34	0.31	0.10	0.33	0.02	0.04	0.01
0.60	0.49	0.62	0.59	3.72	3.91	4.30	4.32	3.51	2.26	3.02	0.16	0.43	0.27	0.09	0.28	0.02	0.05	0.01
0.59	0.46	0.62	0.58	3.51	3.31	3.22	4.12	3.74	2.85	3.05	0.03	0.38	0.13	0.09	0.30	0.00	0.05	0.01
0.60	0.48	0.63	0.59	4.04	3.83	4.96	4.23	4.48	2.63	3.21	0.19	0.58	0.14	0.10	0.31	0.02	0.06	0.01
0.59	0.47	0.62	0.58	4.22	5.32	4.91	4.04	5.49	2.16	3.74	0.10	0.31	0.16	0.10	0.36	0.01	0.04	0.01
0.57	0.44	0.61	0.56	3.90	5.29	3.78	4.28	3.97	2.68	3.15	0.19	0.41	0.41	0.10	0.32	0.02	0.05	0.02
0.56	0.45	0.60	0.56	4.17	4.45	4.02	4.98	4.58	2.91	3.23	0.28	0.49	0.40	0.11	0.33	0.03	0.06	0.02
0.57	0.46	0.60	0.57	4.64	5.93	4.77	5.14	4.70	2.79	3.95	0.17	0.43	0.25	0.12	0.41	0.02	0.05	0.01
0.58	0.47	0.61	0.57	4.33	5.44	4.79	4.06	4.98	3.05	3.45	0.22	0.49	0.41	0.11	0.35	0.02	0.06	0.02
0.58	0.47	0.61	0.58	3.76	4.08	3.97	4.44	4.12	2.15	2.99	0.26	0.42	0.22	0.09	0.29	0.03	0.05	0.01
0.59	0.49	0.62	0.59	3.75	3.31	4.16	4.75	3.16	2.49	3.15	0.10	0.43	0.17	0.09	0.31	0.01	0.05	0.00
0.60	0.47	0.63	0.59	4.13	5.45	4.80	4.45	3.53	2.43	3.44	0.21	0.39	0.25	0.10	0.33	0.02	0.05	0.01
0.60	0.48	0.63	0.58	3.79	3.85	3.97	4.73	3.83	2.24	3.09	0.17	0.44	0.26	0.10	0.31	0.02	0.05	0.01
0.58	0.46	0.61	0.58	3.69	4.72	4.15	3.93	3.78	2.13	3.13	0.14	0.39	0.08	0.09	0.31	0.02	0.04	0.00
0.55	0.46	0.58	0.56	3.67	3.51	4.24	3.92	4.11	2.18	3.00	0.15	0.41	0.23	0.10	0.31	0.02	0.05	0.01
0.61	0.51	0.64	0.62	2.69	2.39	3.09	3.11	2.83	1.60	2.22	0.12	0.29	0.16	0.06	0.20	0.01	0.03	0.01
0.57	0.46	0.61	0.57	4.34	4.37	4.48	5.26	5.41	2.24	3.48	0.18	0.46	0.52	0.11	0.33	0.02	0.05	0.02
0.58	0.46	0.61	0.57	4.26	5.43	4.82	4.47	4.15	2.56	3.50	0.20	0.48	0.18	0.11	0.34	0.02	0.06	0.01
0.61	0.51	0.64	0.61	3.29	3.56	3.68	3.42	3.65	2.17	2.82	0.07	0.37	0.07	0.08	0.26	0.01	0.04	0.00
0.59	0.48	0.62	0.59	3.83	4.46	4.05	4.09	3.90	2.65	3.24	0.12	0.34	0.31	0.09	0.31	0.02	0.03	0.01
0.57	0.44	0.60	0.57	4.68	5.16	5.22	4.85	5.49	2.82	3.68	0.38	0.46	0.41	0.12	0.37	0.04	0.06	0.02
0.58	0.46	0.60	0.58	4.11	4.18	4.74	4.53	4.51	2.33	3.35	0.17	0.43	0.40	0.10	0.33	0.02	0.05	0.02
0.59	0.48	0.61	0.59	3.94	5.38	4.51	3.92	4.27	2.56	3.11	0.23	0.44	0.38	0.10	0.30	0.03	0.05	0.01
0.59	0.46	0.63	0.58	3.63	3.56	3.87	3.64	4.51	2.73	3.03	0.15	0.39	0.13	0.09	0.30	0.02	0.04	0.01
0.60	0.47	0.63	0.59	3.96	5.18	4.26	4.73	3.79	1.90	3.37	0.16	0.39	0.12	0.10	0.32	0.01	0.05	0.00
0.59	0.47	0.63	0.58	4.25	4.11	4.70	4.81	4.73	2.46	3.73	0.14	0.31	0.19	0.11	0.36	0.02	0.04	0.01
0.59	0.47	0.61	0.58	3.77	4.33	3.67	3.99	4.62	2.50	3.17	0.13	0.43	0.14	0.09	0.30	0.02	0.05	0.00
0.58	0.45	0.61	0.57	3.89	3.25	4.43	4.16	4.63	2.58	3.32	0.08	0.43	0.17	0.10	0.33	0.01	0.05	0.01
0.57	0.46	0.61	0.57	4.45	4.81	5.17	4.56	4.95	2.60	3.72	0.15	0.51	0.20	0.11	0.38	0.02	0.06	0.01
0.59	0.47	0.62	0.58	4.42	4.97	4.52	5.26	4.80	2.59	3.75	0.15	0.42	0.26	0.11	0.36	0.02	0.05	0.01
0.59	0.49	0.62	0.58	3.16	2.12	3.62	3.68	3.16	2.21	2.56	0.13	0.38	0.21	0.08	0.25	0.01	0.04	0.01
0.59	0.46	0.62	0.58	4.19	4.20	4.52	4.53	5.22	2.20	3.55	0.17	0.40	0.18	0.11	0.35	0.02	0.05	0.01
0.57	0.44	0.60	0.56	4.82	5.42	5.96	5.10	4.56	2.96	4.05	0.15	0.51	0.28	0.13	0.41	0.02	0.06	0.01
0.57	0.45	0.60	0.57	4.53	5.15	4.70	4.85	5.19	2.92	3.66	0.22	0.43	0.56	0.12	0.36	0.03	0.05	0.02
0.58	0.47	0.61	0.58	3.56	3.70	3.20	4.13	5.09	2.12	2.94	0.12	0.44	0.13	0.09	0.29	0.01	0.05	0.01
0.57	0.46	0.60	0.57	4.05	4.27	4.09	4.59	4.54	2.66	3.14	0.24	0.54	0.31	0.10	0.31	0.03	0.06	0.01
0.57	0.44	0.61	0.56	4.88	5.01	5.50	5.75	5.10	2.91	4.07	0.22	0.43	0.38	0.12	0.41	0.03	0.05	0.01
0.57	0.45	0.60	0.57	4.20	4.71	4.64	4.74	4.52	2.38	3.46	0.16	0.45	0.31	0.11	0.34	0.02	0.05	0.01
0.61	0.49	0.65	0.59	3.93	5.29	3.78	4.30	4.21	2.54	3.32	0.16	0.38	0.18	0.10	0.32	0.02	0.04	0.01
0.58	0.47	0.60	0.58	3.95	4.93	4.42	3.99	4.40	2.35	3.33	0.13	0.33	0.36	0.10	0.32	0.01	0.04	0.01
0.59	0.49	0.61	0.59	3.72	3.18	4.38	4.12	4.34	2.08	2.95	0.21	0.41	0.35	0.09	0.28	0.02	0.05	0.01
0.58	0.47	0.61	0.58	4.41	5.11	4.43	5.11	4.64	2.84	3.54	0.23	0.39	0.62	0.11	0.35	0.03	0.05	0.03
0.56	0.42	0.60	0.55	5.31	5.03	6.53	6.03	5.27	2.75	4.41	0.19	0.60	0.27	0.14	0.46	0.02	0.07	0.01
0.57	0.45	0.60	0.56	4.28	4.89	5.20	4.34	4.38	2.61	3.70	0.14	0.40	0.12	0.11	0.37	0.02	0.05	0.01
0.57	0.45	0.60	0.56	5.20	4.59	5.56	6.28	6.03	2.52	4.32	0.23	0.45	0.50	0.13	0.44	0.02	0.06	0.02
0.58	0.45	0.60	0.58	4.42	5.24	4.84	4.49	5.18	2.78	3.58	0.17	0.56	0.29	0.11	0.36	0.02	0.07	0.01
0.56	0.44	0.60	0.56	4.01	3.22	4.51	4.67	4.44	2.44	3.31	0.17	0.41	0.29	0.10	0.34	0.02	0.05	0.01
0.57	0.46	0.60	0.58	4.30	6.21	4.86	4.20	4.68	2.58	3.50	0.25	0.45	0.23	0.11	0.33	0.03	0.05	0.01
0.58	0.45	0.62	0.57	3.62	3.51	4.13	4.14	3.96	1.95	3.20	0.07	0.30	0.11	0.09	0.32	0.01	0.04	0.01
0.58	0.47	0.61	0.58	4.57	5.03	4.99	4.52	6.41	2.48	3.87	0.15	0.43	0.29	0.12	0.39	0.01	0.05	0.01
0.58	0.45	0.61	0.57	4.32	4.90	5.12	4.87	3.83	2.30	3.64	0.14	0.46	0.20	0.11	0.37	0.02	0.06	0.01
0.57	0.46	0.59	0.57	4.12	4.38	3.95	5.15	4.25	2.48	3.30	0.25	0.47	0.24	0.10	0.33	0.03	0.05	0.01
0.56	0.44	0.59	0.56	3.96	3.70	4.64	4.53	3.80	2.53	3.34	0.14	0.40	0.21	0.10	0.35	0.02	0.05	0.01
