OG	OA	OE	OM	TeG	TeP1	TeP2	TeP3	TeP4	TeP5	TeMFC	TeMFT	TeMFA	TeMFM	TaG	TaMFC	TaMFT	TaMFA	TaMFM
0.58	0.46	0.61	0.58	3.63	3.45	4.17	3.38	4.89	2.48	2.89	0.13	0.48	0.31	0.09	0.28	0.01	0.05	0.01
0.58	0.46	0.61	0.57	4.76	4.37	6.22	4.85	5.27	2.54	4.13	0.09	0.48	0.16	0.12	0.41	0.01	0.05	0.01
0.60	0.47	0.63	0.59	4.20	5.54	4.54	4.56	4.22	2.37	3.64	0.11	0.35	0.27	0.11	0.35	0.01	0.04	0.01
0.57	0.47	0.59	0.58	4.28	5.04	4.79	4.43	4.72	2.85	3.37	0.25	0.50	0.37	0.11	0.33	0.03	0.06	0.02
0.58	0.46	0.61	0.58	4.19	3.89	4.99	4.77	4.40	2.37	3.53	0.20	0.37	0.22	0.11	0.34	0.02	0.05	0.01
0.54	0.43	0.57	0.54	4.60	4.12	5.87	4.97	4.15	2.97	3.68	0.26	0.50	0.39	0.12	0.37	0.03	0.06	0.02
0.58	0.47	0.61	0.58	3.72	4.93	4.06	4.13	3.75	2.09	2.94	0.20	0.49	0.22	0.10	0.30	0.02	0.06	0.01
0.59	0.48	0.62	0.59	3.76	4.84	3.95	3.98	4.28	2.32	3.24	0.17	0.26	0.24	0.10	0.32	0.02	0.04	0.01
0.59	0.48	0.62	0.59	3.86	4.37	4.21	4.26	4.19	2.20	3.18	0.16	0.48	0.11	0.09	0.30	0.02	0.05	0.00
0.59	0.47	0.63	0.57	3.80	4.06	4.60	4.09	3.60	2.22	3.05	0.14	0.51	0.28	0.10	0.31	0.02	0.06	0.01
0.61	0.50	0.63	0.61	3.62	3.13	3.74	4.44	4.01	2.15	3.09	0.12	0.33	0.21	0.08	0.28	0.01	0.03	0.01
0.57	0.45	0.60	0.57	4.03	4.22	4.63	4.78	4.01	2.04	3.28	0.17	0.48	0.24	0.10	0.33	0.02	0.05	0.01
0.59	0.46	0.62	0.59	3.83	3.61	4.23	4.77	3.93	2.11	3.30	0.11	0.36	0.16	0.09	0.32	0.01	0.04	0.01
0.56	0.43	0.60	0.55	3.99	4.76	4.03	4.57	4.38	2.47	3.42	0.07	0.42	0.20	0.11	0.35	0.01	0.05	0.01
0.58	0.47	0.60	0.57	4.71	4.61	5.97	4.85	5.02	2.80	3.73	0.29	0.54	0.38	0.12	0.37	0.03	0.06	0.02
0.60	0.49	0.63	0.59	3.82	3.20	4.19	4.44	4.72	2.11	3.24	0.11	0.35	0.31	0.09	0.30	0.01	0.04	0.01
0.58	0.47	0.61	0.58	3.31	2.98	3.36	3.87	4.18	1.95	2.80	0.11	0.33	0.17	0.08	0.27	0.01	0.04	0.01
0.59	0.47	0.62	0.58	3.92	5.02	4.25	4.20	4.16	2.40	3.29	0.14	0.43	0.16	0.10	0.32	0.02	0.05	0.01
0.60	0.48	0.63	0.58	3.81	4.69	3.84	3.82	4.82	2.63	3.17	0.17	0.40	0.18	0.09	0.31	0.02	0.04	0.01
0.57	0.45	0.60	0.57	4.35	5.47	5.13	4.13	5.14	2.33	3.55	0.22	0.51	0.19	0.11	0.35	0.02	0.06	0.01
0.59	0.46	0.62	0.59	3.36	3.26	3.97	3.63	3.56	2.07	2.97	0.05	0.29	0.15	0.08	0.28	0.00	0.03	0.00
0.58	0.47	0.61	0.58	3.92	3.64	4.73	4.31	4.16	2.20	3.31	0.16	0.37	0.19	0.10	0.32	0.02	0.04	0.01
0.60	0.47	0.64	0.58	4.11	5.16	5.02	4.30	4.30	2.24	3.40	0.16	0.48	0.19	0.10	0.33	0.02	0.05	0.01
0.58	0.45	0.62	0.58	4.25	4.20	4.32	5.01	5.02	2.29	3.72	0.12	0.34	0.16	0.11	0.37	0.01	0.05	0.01
0.60	0.48	0.63	0.58	3.65	3.78	3.98	4.09	3.76	2.33	2.93	0.16	0.49	0.19	0.09	0.28	0.02	0.06	0.01
0.59	0.47	0.61	0.60	4.10	4.50	4.19	4.62	4.64	2.42	3.47	0.14	0.30	0.44	0.10	0.33	0.02	0.04	0.02
0.57	0.45	0.60	0.57	3.62	4.08	4.22	3.74	3.64	2.36	2.92	0.20	0.41	0.24	0.09	0.29	0.02	0.05	0.01
0.57	0.46	0.60	0.57	3.94	4.62	4.25	3.79	5.13	2.41	3.14	0.19	0.43	0.44	0.10	0.32	0.02	0.05	0.02
0.55	0.43	0.57	0.55	4.26	4.22	4.74	4.80	4.70	2.66	3.64	0.12	0.40	0.23	0.12	0.39	0.02	0.05	0.01
0.58	0.46	0.62	0.57	4.40	3.94	5.70	4.70	5.04	2.20	3.70	0.16	0.48	0.16	0.11	0.36	0.02	0.05	0.01
0.59	0.47	0.63	0.58	3.91	4.47	4.80	3.63	4.48	2.40	3.35	0.17	0.32	0.17	0.10	0.32	0.02	0.04	0.01
0.58	0.47	0.60	0.58	3.69	3.96	4.12	4.20	3.67	2.26	3.01	0.15	0.38	0.36	0.09	0.30	0.02	0.05	0.01
0.55	0.42	0.59	0.55	4.76	4.93	5.03	5.72	5.18	2.69	4.03	0.17	0.45	0.29	0.13	0.43	0.02	0.06	0.01
0.58	0.45	0.61	0.57	4.18	4.63	5.38	4.60	4.25	1.80	3.49	0.16	0.43	0.26	0.11	0.36	0.02	0.05	0.01
0.56	0.44	0.59	0.56	4.77	5.87	5.63	5.11	4.75	2.59	3.88	0.25	0.53	0.28	0.12	0.40	0.03	0.06	0.01
0.59	0.46	0.63	0.58	3.19	3.01	3.57	3.82	2.62	2.35	2.60	0.11	0.43	0.14	0.08	0.26	0.01	0.05	0.01
0.59	0.48	0.62	0.58	4.38	5.17	5.47	4.52	4.18	2.65	3.69	0.10	0.44	0.35	0.11	0.36	0.01	0.05	0.01
0.58	0.45	0.62	0.57	3.66	4.29	4.09	3.75	3.76	2.45	3.24	0.02	0.38	0.06	0.10	0.33	0.00	0.05	0.00
0.57	0.46	0.60	0.57	4.00	4.02	4.59	4.20	4.79	2.39	3.36	0.13	0.43	0.17	0.10	0.32	0.02	0.05	0.01
0.59	0.49	0.62	0.60	3.49	3.86	3.89	3.72	4.07	1.97	2.86	0.15	0.35	0.31	0.09	0.27	0.01	0.04	0.01
0.58	0.45	0.62	0.57	3.95	4.64	4.67	4.04	3.82	2.32	3.28	0.19	0.40	0.22	0.10	0.33	0.02	0.05	0.01
0.60	0.48	0.64	0.58	3.79	4.90	4.33	4.07	3.55	2.27	3.24	0.09	0.37	0.27	0.09	0.30	0.01	0.04	0.01
0.60	0.49	0.62	0.59	4.49	4.51	5.42	5.22	4.25	2.72	3.61	0.21	0.44	0.57	0.11	0.34	0.02	0.05	0.02
0.60	0.50	0.63	0.60	3.10	2.28	3.49	3.42	3.44	2.35	2.63	0.07	0.34	0.16	0.07	0.24	0.01	0.04	0.01
