OG	OA	OE	OM	TeG	TeP1	TeP2	TeP3	TeP4	TeP5	TeMFC	TeMFT	TeMFA	TeMFM	TaG	TaMFC	TaMFT	TaMFA	TaMFM
0.27	0.48	0.00	0.34	1411.01	2967.70	1834.13	1481.06	1350.17	14.17	2.80	1073.88	11.22	813.99	34.29	0.24	104.44	1.07	31.43
0.29	0.47	0.01	0.40	1377.68	2294.84	1655.90	1610.36	1480.20	17.51	3.44	1223.49	7.26	354.16	34.41	0.32	122.26	0.74	14.33
0.28	0.43	0.01	0.39	1653.83	3063.59	2118.69	1952.59	1708.83	16.72	4.14	1406.91	7.42	575.28	44.92	0.42	152.88	0.79	25.59
0.28	0.47	0.00	0.36	1525.19	2752.67	2008.00	1581.12	1594.67	16.03	3.70	1233.54	10.77	690.59	38.93	0.36	125.96	1.09	28.30
0.28	0.49	0.01	0.35	1279.70	2625.40	1512.67	1384.47	1333.97	15.83	3.32	1057.11	11.70	547.86	31.83	0.31	105.21	1.16	20.66
0.28	0.49	0.00	0.34	1423.44	2937.73	1996.11	1386.91	1295.60	17.86	2.95	1022.36	11.47	943.82	33.61	0.26	96.57	1.07	36.54
0.28	0.46	0.01	0.35	1358.87	2537.19	1905.77	1466.82	1408.39	20.74	3.24	1109.19	7.90	617.77	34.48	0.31	112.60	0.80	24.22
0.29	0.49	0.00	0.40	1424.14	2009.57	1766.31	1736.40	1612.53	15.58	2.97	1283.92	9.13	321.94	34.79	0.28	125.49	0.89	12.52
0.27	0.46	0.01	0.35	1490.01	2413.42	2060.86	1628.32	1521.76	16.96	2.93	1227.34	10.28	613.48	37.81	0.27	124.61	1.03	25.33
0.29	0.47	0.00	0.40	1635.06	2433.22	2308.61	1738.04	1695.55	18.29	2.70	1312.50	10.93	712.59	40.88	0.24	131.30	1.09	30.90
0.27	0.47	0.01	0.32	1313.42	2884.66	1827.15	1194.98	1220.65	18.60	2.98	906.60	14.49	942.79	33.13	0.28	91.49	1.45	39.29
0.29	0.47	0.01	0.39	1445.05	2221.12	1770.46	1667.26	1715.26	19.08	3.38	1332.74	8.07	244.74	36.10	0.31	133.21	0.81	10.08
0.29	0.49	0.00	0.36	1758.48	3077.89	2423.20	1840.28	1805.03	16.93	3.15	1399.62	8.63	854.62	42.74	0.29	136.09	0.84	33.74
0.27	0.46	0.01	0.36	1623.08	2389.36	2624.86	1777.87	1495.23	18.75	3.55	1228.49	9.54	909.60	41.47	0.33	125.58	0.97	39.00
0.28	0.45	0.00	0.38	1757.49	3298.06	2145.04	1845.17	1820.24	17.64	4.24	1471.44	8.99	663.28	44.72	0.41	149.81	0.91	27.78
0.28	0.47	0.02	0.35	1350.70	2335.35	1896.54	1495.70	1442.84	19.98	3.08	1078.58	9.36	661.41	34.48	0.30	110.15	0.93	26.52
0.27	0.46	0.00	0.35	1323.58	2277.11	1609.71	1536.63	1527.89	14.54	3.42	1169.88	7.84	375.47	34.01	0.32	120.28	0.80	14.64
0.27	0.47	0.00	0.35	1566.17	2712.23	2414.60	1705.90	1428.58	20.01	3.18	1161.45	8.63	912.64	39.97	0.31	118.57	0.87	40.13
0.27	0.48	0.01	0.32	1478.44	2804.19	2331.20	1418.76	1258.57	20.11	2.79	993.18	10.99	1134.00	37.22	0.27	100.02	1.10	47.49
0.28	0.48	0.00	0.36	1235.35	1857.25	1689.84	1374.30	1204.60	17.10	3.30	997.33	13.06	590.71	30.21	0.30	97.58	1.27	21.69
0.27	0.47	0.00	0.33	1293.28	2205.75	1853.08	1370.15	1287.94	15.88	3.56	1020.84	10.86	678.24	32.46	0.34	102.51	1.08	25.92
0.28	0.45	0.00	0.38	1485.77	2073.98	1876.79	1795.53	1841.17	15.88	3.18	1387.29	9.16	218.12	38.92	0.32	145.40	0.93	9.03
0.27	0.45	0.00	0.36	1482.34	2563.02	2094.81	1604.45	1424.63	19.86	3.48	1127.69	10.88	854.39	38.50	0.33	117.17	1.11	35.37
0.25	0.43	0.00	0.33	1512.81	2173.28	1878.68	1789.78	1863.37	21.66	3.39	1395.58	10.01	267.48	40.61	0.34	149.88	1.07	11.16
0.28	0.47	0.01	0.36	1660.94	2868.93	2382.18	1712.84	1778.49	13.99	3.04	1369.73	10.61	690.06	40.66	0.27	134.15	1.04	27.19
0.28	0.46	0.01	0.36	1419.31	2747.08	1984.70	1470.50	1324.33	13.28	2.98	1074.87	8.59	839.12	36.12	0.28	109.45	0.87	33.89
0.26	0.45	0.00	0.33	1367.73	2504.65	1928.73	1341.71	1361.47	16.96	3.70	1060.51	9.47	740.89	34.87	0.35	108.17	0.96	29.99
0.27	0.45	0.00	0.34	1567.94	2833.84	2391.99	1465.49	1488.28	19.27	3.62	1152.48	10.59	996.05	41.03	0.35	120.67	1.09	42.00
0.28	0.49	0.00	0.36	1481.85	3008.90	2064.52	1475.71	1571.46	19.67	2.92	1154.95	9.29	800.83	36.56	0.27	114.02	0.90	31.08
0.27	0.44	0.00	0.36	1685.00	2792.26	2372.52	1832.89	1691.04	15.69	3.87	1376.87	9.59	730.54	44.77	0.39	146.37	1.00	31.32
0.29	0.48	0.00	0.39	1522.77	2818.02	2065.44	1601.42	1553.96	19.49	3.03	1243.82	8.55	658.14	37.47	0.28	122.43	0.83	26.32
0.27	0.46	0.00	0.35	1423.63	2313.59	1883.72	1642.23	1556.53	16.86	4.27	1231.98	9.39	499.93	36.30	0.41	125.66	0.95	18.16
0.29	0.48	0.00	0.39	1297.74	2500.86	1709.69	1320.65	1382.25	17.49	2.91	1016.34	6.43	703.55	31.97	0.28	100.15	0.62	26.82
0.26	0.45	0.00	0.34	1558.30	2668.52	2385.20	1523.33	1534.48	21.77	3.48	1181.28	9.24	861.34	41.13	0.34	124.74	0.97	38.47
0.28	0.47	0.00	0.35	1676.69	3026.47	2455.79	1696.88	1459.41	19.54	3.31	1241.63	8.96	985.86	42.38	0.31	125.57	0.90	42.75
0.27	0.47	0.00	0.34	1230.28	2653.12	1655.43	1258.39	1115.19	17.01	3.44	868.12	11.57	870.90	30.70	0.33	86.67	1.14	34.66
0.28	0.48	0.00	0.37	1517.60	2782.91	2036.40	1578.26	1570.25	15.80	3.14	1239.98	8.85	640.73	37.68	0.29	123.17	0.87	26.39
0.28	0.46	0.00	0.38	1576.05	2778.34	1984.71	1748.64	1831.19	17.83	3.07	1377.29	7.81	484.74	40.35	0.29	141.07	0.79	19.24
0.26	0.44	0.00	0.35	1626.88	3217.20	2089.13	1564.38	1655.99	18.21	3.53	1258.41	10.09	898.94	42.94	0.35	132.87	1.05	37.48
0.27	0.50	0.00	0.32	949.11	2301.24	1533.72	776.88	671.83	18.73	2.69	495.65	12.33	1130.96	22.52	0.24	47.05	1.17	41.64
0.29	0.49	0.00	0.38	1624.03	2541.98	2510.22	1576.59	1566.94	19.41	3.29	1233.19	9.16	873.35	39.24	0.30	119.19	0.88	36.57
0.27	0.46	0.00	0.35	1408.13	2599.64	1901.97	1438.33	1422.42	15.53	3.46	1129.79	7.46	665.68	36.43	0.33	116.94	0.76	27.69
0.29	0.49	0.00	0.38	1298.49	2208.33	1879.94	1301.97	1306.49	14.51	2.84	995.53	7.79	779.51	31.70	0.25	97.23	0.76	28.55
0.26	0.45	0.00	0.33	1605.90	2964.30	2366.82	1496.18	1587.76	19.11	3.21	1168.98	10.07	1026.46	41.99	0.32	122.27	1.04	44.31
0.28	0.46	0.00	0.38	1574.02	2564.27	2175.45	1620.15	1764.45	14.58	3.72	1329.36	8.45	599.71	40.49	0.36	136.81	0.86	23.92
0.27	0.46	0.00	0.36	1475.07	2339.31	1865.88	1679.28	1580.11	16.07	3.79	1276.21	10.49	481.27	38.16	0.37	132.10	1.07	19.10
0.29	0.48	0.00	0.37	1618.78	2996.15	2171.75	1664.90	1682.71	19.25	2.80	1326.01	9.25	690.16	40.47	0.26	132.63	0.91	28.09
0.29	0.48	0.00	0.38	1507.47	2700.59	2149.76	1588.68	1570.08	15.89	3.02	1189.10	10.84	768.13	37.72	0.28	119.06	1.06	30.48
