OG	OA	OE	OM	TeG	TeP1	TeP2	TeP3	TeP4	TeP5	TeMFC	TeMFT	TeMFA	TeMFM	TaG	TaMFC	TaMFT	TaMFA	TaMFM
0.55	0.47	0.61	0.58	1.07	1.08	1.15	1.06	1.18	0.66	3.37	0.20	0.41	0.29	0.10	0.32	0.02	0.05	0.01
0.55	0.47	0.62	0.58	1.07	1.00	1.18	1.16	1.15	0.57	3.44	0.16	0.40	0.29	0.10	0.34	0.02	0.05	0.01
0.56	0.47	0.63	0.58	1.05	1.07	1.08	1.11	1.20	0.62	3.43	0.16	0.40	0.21	0.10	0.33	0.02	0.05	0.01
0.55	0.46	0.62	0.58	1.01	1.14	1.10	1.04	1.21	0.57	3.45	0.10	0.36	0.15	0.10	0.34	0.01	0.04	0.01
0.55	0.47	0.61	0.58	1.04	1.08	1.09	1.09	1.08	0.62	3.31	0.16	0.40	0.29	0.10	0.32	0.02	0.05	0.01
0.54	0.45	0.60	0.57	1.04	1.13	1.04	1.09	1.16	0.64	3.29	0.20	0.45	0.20	0.10	0.32	0.02	0.05	0.01
0.54	0.45	0.60	0.57	1.15	1.34	1.22	1.19	1.14	0.61	3.62	0.20	0.44	0.33	0.11	0.36	0.02	0.05	0.02
0.56	0.47	0.62	0.58	1.11	1.16	1.16	1.26	1.17	0.60	3.64	0.20	0.40	0.20	0.11	0.35	0.02	0.05	0.01
0.56	0.48	0.62	0.58	1.03	1.12	1.06	1.16	1.05	0.56	3.26	0.19	0.39	0.27	0.10	0.31	0.02	0.04	0.01
0.54	0.45	0.60	0.57	1.17	1.30	1.15	1.26	1.30	0.65	3.69	0.21	0.49	0.32	0.11	0.37	0.02	0.05	0.01
0.55	0.47	0.62	0.58	0.96	1.04	0.98	1.06	1.08	0.60	3.21	0.12	0.39	0.13	0.09	0.31	0.01	0.05	0.01
0.55	0.47	0.62	0.57	1.12	1.19	1.22	1.17	1.24	0.63	3.58	0.18	0.49	0.26	0.11	0.35	0.02	0.06	0.01
0.55	0.47	0.61	0.58	1.03	1.04	1.09	1.13	1.02	0.63	3.30	0.16	0.43	0.25	0.10	0.32	0.02	0.05	0.01
0.55	0.47	0.61	0.58	1.07	1.04	1.20	1.14	1.09	0.59	3.31	0.25	0.43	0.31	0.10	0.32	0.03	0.05	0.01
0.55	0.46	0.61	0.57	1.09	1.16	1.13	1.14	1.04	0.69	3.41	0.18	0.43	0.34	0.11	0.34	0.02	0.05	0.01
0.55	0.46	0.60	0.58	1.17	1.23	1.29	1.20	1.28	0.62	3.72	0.18	0.47	0.31	0.11	0.36	0.02	0.05	0.01
0.54	0.46	0.60	0.57	1.09	1.14	1.13	1.14	1.10	0.68	3.37	0.20	0.47	0.30	0.11	0.33	0.02	0.05	0.01
0.57	0.48	0.63	0.59	0.96	0.93	1.02	1.04	1.02	0.58	3.04	0.14	0.44	0.24	0.09	0.29	0.01	0.05	0.01
0.55	0.46	0.60	0.58	1.15	1.17	1.25	1.16	1.34	0.61	3.61	0.24	0.44	0.34	0.11	0.35	0.03	0.05	0.01
0.56	0.48	0.63	0.59	0.96	1.03	1.01	1.01	1.04	0.55	3.11	0.16	0.34	0.23	0.09	0.30	0.02	0.04	0.01
0.55	0.46	0.60	0.58	1.08	1.14	1.11	1.12	1.22	0.60	3.43	0.18	0.43	0.27	0.10	0.34	0.02	0.05	0.01
0.56	0.48	0.61	0.58	1.14	1.35	1.24	1.11	1.14	0.66	3.52	0.25	0.45	0.34	0.11	0.33	0.03	0.05	0.01
0.55	0.47	0.62	0.58	0.95	1.02	1.03	0.92	1.14	0.58	3.15	0.12	0.37	0.18	0.09	0.30	0.01	0.04	0.01
0.54	0.45	0.60	0.56	1.09	1.24	1.11	1.14	1.21	0.65	3.48	0.15	0.47	0.28	0.11	0.35	0.02	0.06	0.01
0.54	0.46	0.60	0.57	1.09	1.22	1.16	1.17	1.03	0.64	3.46	0.15	0.45	0.29	0.11	0.34	0.02	0.05	0.01
0.55	0.47	0.61	0.58	0.99	1.05	1.05	1.07	0.93	0.60	3.12	0.17	0.42	0.27	0.09	0.30	0.02	0.05	0.01
0.55	0.47	0.61	0.58	1.11	1.18	1.22	1.17	1.19	0.60	3.58	0.17	0.42	0.27	0.11	0.35	0.02	0.05	0.01
0.55	0.45	0.61	0.57	1.14	1.43	1.25	1.16	1.05	0.65	3.63	0.18	0.43	0.33	0.11	0.36	0.02	0.05	0.01
0.55	0.47	0.61	0.58	1.03	1.17	1.10	1.07	1.12	0.57	3.26	0.16	0.46	0.25	0.10	0.32	0.02	0.05	0.01
0.55	0.46	0.61	0.58	1.13	1.33	1.18	1.18	1.16	0.65	3.54	0.23	0.47	0.27	0.11	0.35	0.03	0.05	0.01
0.54	0.46	0.59	0.57	1.10	1.21	1.13	1.15	1.13	0.65	3.35	0.23	0.48	0.32	0.11	0.34	0.03	0.06	0.01
0.55	0.46	0.61	0.57	1.13	1.37	1.09	1.18	1.20	0.65	3.48	0.24	0.45	0.34	0.11	0.34	0.03	0.05	0.01
0.55	0.46	0.61	0.57	1.14	1.28	1.28	1.16	1.15	0.63	3.62	0.17	0.47	0.28	0.11	0.36	0.02	0.06	0.01
0.55	0.47	0.61	0.58	1.07	1.14	1.22	1.14	1.08	0.64	3.48	0.16	0.45	0.18	0.10	0.34	0.02	0.05	0.01
0.55	0.47	0.61	0.58	1.01	1.08	1.02	1.07	1.11	0.59	3.15	0.20	0.43	0.25	0.10	0.31	0.02	0.05	0.01
0.56	0.48	0.62	0.59	0.98	1.12	1.00	1.06	0.96	0.58	3.02	0.21	0.44	0.25	0.09	0.29	0.02	0.05	0.01
0.55	0.47	0.62	0.58	1.02	1.16	1.05	1.13	0.98	0.59	3.25	0.16	0.42	0.26	0.10	0.31	0.02	0.05	0.01
0.54	0.45	0.59	0.57	1.25	1.16	1.40	1.37	1.21	0.63	3.89	0.24	0.47	0.40	0.12	0.39	0.03	0.05	0.02
0.55	0.46	0.61	0.57	1.04	1.25	1.04	1.10	1.07	0.66	3.38	0.14	0.40	0.24	0.10	0.33	0.02	0.05	0.01
0.55	0.47	0.61	0.58	1.10	1.09	1.18	1.18	1.10	0.63	3.52	0.15	0.44	0.27	0.11	0.34	0.02	0.05	0.01
0.55	0.47	0.60	0.58	1.13	1.23	1.18	1.23	1.30	0.61	3.68	0.18	0.45	0.23	0.11	0.36	0.02	0.05	0.01
0.56	0.47	0.62	0.58	1.03	1.10	1.13	1.07	1.09	0.57	3.24	0.19	0.42	0.25	0.10	0.31	0.02	0.05	0.01
0.55	0.46	0.61	0.57	1.05	1.05	1.18	1.09	1.06	0.62	3.33	0.16	0.42	0.29	0.10	0.33	0.02	0.05	0.01
0.54	0.45	0.60	0.56	1.09	1.27	1.09	1.22	1.14	0.58	3.43	0.20	0.46	0.26	0.11	0.35	0.02	0.05	0.01
0.54	0.45	0.61	0.56	1.00	1.10	1.06	1.06	1.01	0.61	3.23	0.14	0.41	0.21	0.10	0.32	0.02	0.05	0.01
0.55	0.45	0.61	0.58	1.06	1.13	1.14	1.12	1.04	0.63	3.47	0.13	0.38	0.26	0.10	0.34	0.02	0.05	0.01
0.54	0.46	0.60	0.57	1.11	1.15	1.18	1.11	1.23	0.64	3.45	0.20	0.44	0.35	0.11	0.34	0.02	0.05	0.01
0.54	0.46	0.60	0.57	1.17	1.30	1.24	1.21	1.21	0.63	3.58	0.20	0.53	0.36	0.11	0.36	0.02	0.06	0.02
0.55	0.47	0.61	0.58	1.06	1.28	1.14	1.05	1.07	0.61	3.38	0.16	0.41	0.27	0.10	0.33	0.02	0.05	0.01
0.55	0.46	0.61	0.57	1.04	1.03	1.13	1.16	1.06	0.60	3.36	0.16	0.43	0.23	0.10	0.33	0.02	0.05	0.01
0.55	0.46	0.61	0.57	1.09	1.02	1.15	1.25	1.03	0.65	3.47	0.16	0.48	0.26	0.11	0.34	0.02	0.05	0.01
0.54	0.45	0.61	0.57	1.09	1.10	1.20	1.14	1.14	0.59	3.49	0.17	0.42	0.26	0.11	0.35	0.02	0.05	0.01
0.56	0.47	0.61	0.58	0.97	1.09	0.95	1.05	1.06	0.59	3.11	0.14	0.40	0.24	0.09	0.30	0.02	0.05	0.01
0.55	0.46	0.61	0.58	1.08	1.20	1.14	1.15	1.09	0.58	3.46	0.16	0.44	0.25	0.11	0.34	0.02	0.05	0.01
0.55	0.46	0.60	0.58	1.22	1.27	1.35	1.22	1.22	0.68	3.80	0.19	0.43	0.44	0.12	0.38	0.02	0.05	0.02
0.56	0.48	0.62	0.59	1.07	1.13	1.20	1.10	1.08	0.59	3.37	0.21	0.43	0.27	0.10	0.32	0.02	0.05	0.01
0.55	0.46	0.60	0.57	1.12	1.10	1.27	1.10	1.22	0.66	3.54	0.19	0.48	0.29	0.11	0.35	0.02	0.06	0.01
0.55	0.46	0.61	0.58	1.04	1.06	1.13	1.12	1.02	0.64	3.31	0.18	0.44	0.24	0.10	0.33	0.02	0.05	0.01
0.57	0.48	0.62	0.59	0.90	0.94	0.99	0.94	0.86	0.54	2.77	0.15	0.40	0.27	0.08	0.26	0.02	0.05	0.01
0.55	0.46	0.60	0.58	1.05	1.07	1.12	1.08	1.13	0.64	3.35	0.20	0.38	0.27	0.10	0.33	0.02	0.04	0.01
