OG	OA	OE	OM	TeG	TeP1	TeP2	TeP3	TeP4	TeP5	TeMFC	TeMFT	TeMFA	TeMFM	TaG	TaMFC	TaMFT	TaMFA	TaMFM
0.26	0.46	0.00	0.33	2067.38	2705.00	2321.32	1527.59	1448.50	4.90	3.71	4730.93	10.95	3523.93	155.36	0.35	478.05	1.09	141.95
0.27	0.49	0.00	0.34	1993.92	2877.09	2047.52	1355.12	1363.64	4.32	2.92	4345.08	11.78	3615.90	140.90	0.27	422.16	1.13	140.05
0.26	0.46	0.00	0.32	2046.87	2892.13	2192.93	1354.31	1373.46	5.18	3.63	4282.97	13.20	3887.69	146.03	0.34	431.99	1.31	150.48
0.28	0.46	0.00	0.37	2088.54	3214.07	2161.19	1758.27	1784.93	4.69	3.84	5610.88	8.39	2731.05	171.45	0.36	572.04	0.85	112.54
0.27	0.46	0.00	0.35	2090.52	3140.06	2288.17	1614.36	1630.74	4.63	3.47	5165.66	10.10	3182.83	165.13	0.33	526.77	1.02	132.41
0.27	0.46	0.00	0.36	1873.97	3100.67	1865.19	1668.33	1680.27	4.57	3.36	5207.18	10.09	2275.26	154.41	0.32	526.18	1.01	90.12
0.27	0.46	0.00	0.36	2045.44	3021.09	2073.30	1670.36	1554.42	4.95	3.51	5186.50	10.54	2981.21	162.95	0.33	529.26	1.07	121.12
0.27	0.46	0.00	0.36	1941.32	3015.12	2047.67	1612.95	1555.55	4.45	3.13	5079.84	9.21	2673.09	155.31	0.30	514.13	0.92	105.88
0.27	0.47	0.00	0.34	2080.95	2646.37	2405.71	1317.42	1218.07	4.92	3.26	4070.68	12.49	4237.38	144.04	0.30	404.64	1.23	170.00
0.27	0.45	0.00	0.35	2176.49	3044.75	2450.71	1860.33	1814.75	4.81	3.32	5894.58	10.91	2797.15	183.14	0.32	610.37	1.12	120.77
0.27	0.46	0.00	0.34	2043.76	3264.31	2007.81	1495.64	1452.27	4.36	3.62	4723.59	11.79	3436.02	153.09	0.34	473.81	1.17	137.05
0.27	0.47	0.00	0.35	1947.96	2857.31	2102.89	1549.98	1484.00	4.66	3.26	4860.70	10.10	2917.76	152.28	0.31	489.59	1.01	118.22
0.28	0.46	0.00	0.38	1977.17	3034.98	2074.68	1757.03	1792.14	4.35	3.17	5717.85	8.88	2178.79	168.90	0.30	586.79	0.90	87.61
0.27	0.46	0.00	0.35	2066.13	2938.06	2261.62	1664.94	1650.13	4.47	3.34	5231.62	11.09	3018.46	164.21	0.32	532.77	1.12	122.64
0.28	0.46	0.00	0.37	1941.53	2948.65	2072.18	1691.41	1709.70	4.91	3.72	5363.84	9.73	2388.84	160.02	0.36	542.75	0.97	96.01
0.28	0.47	0.00	0.36	2046.26	3180.10	2156.50	1607.45	1686.87	4.39	3.01	5326.42	10.88	2844.73	160.75	0.28	527.99	1.07	113.67
0.28	0.47	0.00	0.36	2090.57	3086.01	2180.98	1711.08	1728.88	4.28	3.38	5438.23	8.75	2911.92	163.80	0.32	538.94	0.86	115.07
0.27	0.46	0.00	0.36	2093.40	3114.76	2275.01	1822.15	1880.23	4.69	3.51	5831.35	9.79	2528.96	174.24	0.33	591.55	0.97	104.10
0.28	0.45	0.00	0.37	1951.03	2864.94	2145.71	1820.45	1867.72	4.92	3.26	5790.12	8.77	2001.96	168.08	0.31	589.24	0.89	81.89
0.28	0.47	0.00	0.37	2055.07	2980.76	2277.58	1550.54	1543.39	4.52	3.33	4883.93	9.41	3323.62	154.16	0.31	481.75	0.92	133.65
0.28	0.47	0.00	0.36	1966.48	3039.62	1976.82	1410.22	1459.19	4.55	3.33	4527.63	10.12	3324.84	145.37	0.31	449.54	1.00	130.61
0.27	0.46	0.00	0.34	1934.85	2703.78	2142.74	1619.83	1602.48	4.78	3.45	5108.27	10.97	2616.74	155.79	0.33	517.25	1.10	104.50
0.28	0.48	0.00	0.36	1777.12	2959.55	1752.05	1395.81	1368.11	4.22	3.13	4431.62	10.11	2663.62	134.91	0.29	437.68	0.99	100.70
0.27	0.46	0.00	0.35	2183.72	3051.47	2525.26	1636.42	1594.56	4.58	3.57	5149.72	9.68	3571.93	167.77	0.34	522.39	0.97	147.36
0.27	0.45	0.00	0.36	1974.77	2773.54	2187.47	1819.55	1766.36	4.56	3.51	5687.82	9.15	2198.61	170.27	0.34	588.71	0.94	91.11
0.27	0.46	0.00	0.35	1985.69	2849.54	2224.30	1670.89	1599.40	4.07	3.53	5094.22	10.28	2834.74	157.87	0.34	515.35	1.03	114.78
0.28	0.46	0.00	0.36	1929.79	2945.15	2143.46	1819.52	1774.67	4.25	3.19	5745.83	9.48	1960.64	165.53	0.30	581.30	0.95	79.57
0.28	0.47	0.00	0.37	2009.33	2940.39	2122.62	1580.92	1552.86	4.23	3.54	4970.78	9.18	3053.83	155.51	0.33	499.99	0.91	120.82
0.28	0.48	0.00	0.35	1897.33	2897.15	1992.87	1471.30	1417.79	4.50	3.28	4681.20	11.28	2893.56	144.47	0.30	462.65	1.10	113.82
0.27	0.47	0.00	0.34	2236.58	2916.26	2471.45	1385.24	1379.57	5.08	3.33	4339.54	13.39	4590.05	156.15	0.31	434.89	1.33	188.08
0.28	0.47	0.00	0.36	2057.02	3371.16	2071.64	1750.83	1765.03	4.33	2.96	5510.61	9.37	2705.14	165.56	0.28	552.88	0.93	108.15
0.28	0.48	0.00	0.38	1880.70	2940.96	1910.57	1716.64	1607.87	4.22	3.22	5310.54	10.37	2198.68	152.55	0.30	523.21	1.01	85.66
0.28	0.46	0.00	0.38	2183.51	3234.33	2333.50	1778.60	1700.01	4.27	3.48	5680.98	9.82	3039.76	175.83	0.34	577.87	0.98	124.13
0.27	0.47	0.00	0.35	2158.87	3237.71	2367.94	1701.78	1711.97	4.13	3.33	5386.71	8.92	3236.52	170.00	0.31	545.06	0.89	133.74
0.27	0.46	0.00	0.34	1794.41	2569.15	1886.59	1536.33	1479.32	4.43	3.23	4795.66	10.94	2367.82	144.76	0.30	483.37	1.09	94.28
0.27	0.45	0.00	0.35	2127.96	2988.61	2301.01	1616.55	1545.72	5.25	3.77	5021.97	10.84	3475.24	166.06	0.37	518.51	1.11	144.25
0.27	0.46	0.00	0.35	2007.77	2999.08	2004.53	1590.47	1613.66	4.28	3.51	5041.41	9.48	2976.67	157.96	0.34	511.18	0.95	119.35
0.28	0.46	0.00	0.38	1955.66	3035.71	2027.01	1810.53	1792.61	4.11	3.37	5686.34	8.92	2124.00	165.40	0.32	576.44	0.89	83.93
0.28	0.47	0.00	0.38	2032.99	2874.21	2192.99	1654.04	1640.75	4.76	3.32	5261.41	8.81	2858.44	161.33	0.31	529.48	0.87	114.67
0.28	0.47	0.00	0.36	1991.33	2944.53	2030.80	1564.23	1576.23	4.34	3.22	5055.78	10.33	2896.01	156.59	0.30	510.17	1.03	114.85
0.28	0.47	0.00	0.36	1855.55	3084.94	1864.55	1478.61	1525.62	4.27	3.67	4731.60	9.74	2677.20	143.95	0.35	471.88	0.96	102.63
0.27	0.47	0.00	0.34	2017.40	3016.00	2146.38	1593.82	1628.14	4.13	3.29	5094.95	11.42	2959.94	159.22	0.31	515.31	1.14	120.12
0.26	0.46	0.00	0.32	2034.70	3044.14	2116.89	1622.88	1545.87	4.77	3.15	4916.52	11.00	3208.11	157.12	0.30	500.24	1.10	126.86
0.28	0.47	0.00	0.36	1991.98	2963.51	2135.62	1607.03	1548.25	4.84	3.27	5073.23	9.64	2881.79	156.04	0.30	508.41	0.96	114.48
0.28	0.47	0.00	0.36	1864.64	2623.66	2076.14	1549.17	1438.49	4.19	2.89	4803.14	10.03	2642.50	147.25	0.27	481.13	1.00	106.63
0.27	0.46	0.00	0.34	2011.50	3090.16	2148.36	1570.86	1525.95	5.74	3.60	4858.33	10.39	3173.66	158.17	0.34	498.80	1.06	132.46
0.28	0.48	0.00	0.38	2004.66	3009.95	2067.51	1747.28	1779.42	3.89	3.09	5702.18	10.51	2302.88	163.64	0.29	562.46	1.03	90.79
0.27	0.47	0.00	0.33	2054.30	2901.19	2195.24	1443.22	1443.74	5.19	3.36	4478.70	11.75	3723.38	151.31	0.32	451.63	1.17	152.13
0.27	0.46	0.00	0.35	2167.36	2971.92	2390.94	1477.21	1407.65	4.72	3.56	4596.46	10.90	4058.50	159.12	0.34	465.75	1.09	169.30
0.27	0.46	0.00	0.34	2148.23	2967.87	2370.47	1732.61	1655.01	4.62	3.36	5367.47	9.84	3212.26	172.66	0.33	556.05	1.01	133.26
0.28	0.46	0.00	0.37	2098.40	2996.94	2258.31	1752.96	1794.07	4.35	3.50	5565.15	8.39	2816.57	172.01	0.34	569.96	0.85	116.91
