OG	OA	OE	OM	TeG	TeP1	TeP2	TeP3	TeP4	TeP5	TeMFC	TeMFT	TeMFA	TeMFM	TaG	TaMFC	TaMFT	TaMFA	TaMFM
0.28	0.47	0.00	0.37	1958.29	2783.10	2207.08	1681.31	1629.39	4.78	3.44	5258.43	9.60	2561.67	155.96	0.32	522.95	0.94	99.63
0.28	0.48	0.00	0.36	2137.55	3106.70	2415.98	1574.20	1497.03	4.59	3.04	4910.64	11.03	3625.47	158.11	0.28	485.30	1.07	145.78
0.27	0.46	0.00	0.34	2127.86	2766.22	2380.96	1545.93	1498.71	4.79	3.55	4937.73	11.74	3558.44	163.00	0.34	504.32	1.18	146.14
0.28	0.46	0.00	0.38	2052.05	3305.19	2120.03	1794.67	1746.25	4.71	3.56	5753.47	9.09	2442.07	169.93	0.33	580.45	0.91	98.03
0.27	0.46	0.00	0.34	2057.91	2955.47	2271.70	1501.64	1452.77	5.03	3.50	4666.72	10.92	3550.51	155.44	0.33	473.95	1.09	146.39
0.28	0.47	0.00	0.37	1969.44	3171.93	1991.29	1658.57	1656.18	4.02	3.32	5279.13	8.80	2586.51	158.19	0.31	527.59	0.87	104.00
0.28	0.48	0.00	0.37	1952.09	2916.48	2133.24	1546.92	1604.14	4.55	3.14	4889.91	9.86	2905.47	150.31	0.29	485.29	0.97	114.68
0.27	0.46	0.00	0.35	2202.89	3225.54	2339.03	1699.35	1703.07	5.20	3.54	5373.43	9.98	3424.63	173.98	0.34	549.82	1.00	144.77
0.27	0.47	0.00	0.34	2183.94	3050.48	2358.66	1351.27	1402.21	5.16	3.25	4335.99	13.05	4383.47	152.17	0.30	429.62	1.28	177.48
0.28	0.46	0.00	0.37	2030.20	3210.67	2152.77	1674.12	1715.15	4.43	3.72	5488.13	8.92	2620.02	167.11	0.35	559.52	0.90	107.66
0.27	0.46	0.00	0.36	1830.26	3017.54	1830.17	1661.97	1729.22	4.50	3.24	5279.37	10.59	2027.83	154.53	0.30	535.19	1.07	81.58
0.27	0.46	0.00	0.34	2026.60	2736.64	2235.12	1361.53	1434.83	4.53	3.46	4434.72	10.96	3657.27	148.11	0.32	447.61	1.09	143.42
0.27	0.46	0.00	0.36	2119.55	3011.21	2417.10	1743.45	1713.32	4.93	3.36	5597.03	9.90	2867.92	172.73	0.32	570.50	1.00	119.11
0.27	0.46	0.00	0.36	2134.25	3021.28	2297.78	1581.21	1549.65	4.86	3.58	5045.07	9.01	3479.33	164.11	0.34	512.13	0.91	143.05
0.28	0.47	0.00	0.37	1973.97	2964.70	2062.39	1603.71	1633.08	4.91	3.21	5092.81	10.28	2789.59	155.86	0.29	510.73	1.03	111.40
0.28	0.47	0.00	0.38	2073.31	3116.84	2228.65	1824.43	1878.87	4.31	3.24	5852.78	8.31	2428.90	176.79	0.31	602.39	0.85	103.63
0.27	0.47	0.00	0.35	2045.25	3046.01	2198.99	1513.19	1444.77	4.87	3.38	4772.05	11.28	3394.30	154.01	0.31	477.89	1.12	136.73
0.27	0.48	0.00	0.35	2082.61	2756.27	2309.48	1483.33	1459.95	4.72	3.02	4602.81	11.35	3713.25	152.29	0.28	457.86	1.11	149.92
0.27	0.47	0.00	0.35	2196.81	3111.50	2485.65	1521.00	1453.22	4.51	3.15	4677.70	11.25	4095.12	159.84	0.30	470.72	1.12	167.23
0.28	0.46	0.00	0.39	1924.27	2917.64	2140.98	1992.78	1948.38	4.76	3.44	6290.07	7.94	1395.65	175.90	0.34	645.06	0.81	57.38
0.29	0.49	0.00	0.37	2018.30	3092.25	2066.40	1624.02	1552.33	5.09	3.02	5148.92	9.45	2911.82	155.15	0.28	504.22	0.92	115.20
0.28	0.47	0.00	0.37	1838.32	3042.02	1823.17	1767.65	1689.01	4.07	3.28	5505.72	9.36	1834.92	154.26	0.30	545.64	0.91	70.17
0.27	0.47	0.00	0.35	1964.15	2913.43	2029.26	1468.12	1436.76	4.54	3.38	4600.38	10.14	3242.70	146.75	0.31	457.40	1.00	128.29
0.27	0.44	0.00	0.35	2072.53	3140.19	2202.88	1826.89	1768.99	5.00	3.83	5676.27	10.05	2599.96	177.59	0.38	597.23	1.05	111.71
0.27	0.46	0.00	0.36	1966.19	3060.38	1966.14	1762.19	1781.51	4.75	3.26	5624.70	10.92	2225.89	166.71	0.31	574.88	1.11	90.53
0.27	0.46	0.00	0.35	1914.78	3018.30	1924.33	1667.72	1647.55	4.71	3.66	5266.20	10.69	2378.54	158.80	0.35	537.13	1.08	96.64
0.28	0.47	0.00	0.36	2077.72	3171.54	2112.92	1694.77	1711.33	4.48	3.70	5405.52	8.40	2893.27	163.82	0.35	539.83	0.83	114.27
0.27	0.47	0.00	0.35	2056.52	3215.75	2048.82	1560.43	1444.09	4.61	3.26	4826.15	9.63	3387.03	155.33	0.31	487.45	0.96	132.59
0.27	0.47	0.00	0.34	1890.48	2899.22	1965.08	1378.54	1365.78	4.39	3.68	4390.83	11.97	3155.44	142.11	0.35	440.23	1.19	126.67
0.27	0.46	0.00	0.34	2139.69	3158.66	2216.76	1519.72	1506.67	5.16	3.28	4763.63	11.91	3779.95	160.50	0.31	484.89	1.20	155.59
0.27	0.47	0.00	0.35	1996.60	2904.00	2115.74	1539.92	1500.46	4.53	3.09	4810.85	10.41	3162.04	151.94	0.28	481.12	1.03	125.32
0.28	0.47	0.00	0.36	2006.05	3134.61	2052.51	1595.03	1619.86	4.49	3.19	5091.63	9.52	2919.86	159.56	0.30	516.27	0.96	120.72
0.27	0.47	0.00	0.35	2247.38	3164.13	2420.91	1477.92	1426.14	4.51	3.29	4526.64	10.37	4449.22	158.87	0.31	451.43	1.02	182.73
0.28	0.46	0.00	0.37	2081.19	3391.87	2039.56	1769.93	1742.22	4.67	3.80	5611.72	9.00	2700.25	171.29	0.37	572.26	0.90	111.64
0.27	0.46	0.00	0.36	1984.05	2997.23	2160.83	1803.07	1829.61	4.86	3.67	5713.85	10.55	2208.13	166.79	0.35	577.63	1.06	88.13
0.28	0.48	0.00	0.36	1991.73	2798.63	2127.48	1556.73	1519.45	4.16	3.20	4848.03	8.91	3106.79	151.91	0.30	482.03	0.87	124.43
0.27	0.46	0.00	0.35	2040.31	2631.80	2402.89	1734.39	1775.97	4.43	3.36	5580.71	10.56	2566.59	169.99	0.33	574.77	1.07	103.80
0.27	0.46	0.00	0.35	2119.23	3118.62	2312.86	1548.74	1598.75	4.42	3.13	4933.79	10.65	3529.35	160.27	0.29	497.99	1.07	141.75
0.28	0.48	0.00	0.36	1903.05	2596.79	1990.64	1443.91	1408.89	4.67	2.89	4575.01	10.54	3023.76	140.07	0.26	445.24	1.01	113.75
0.27	0.46	0.00	0.35	2002.50	2978.11	2023.33	1628.26	1682.44	4.79	3.31	5206.40	10.17	2790.13	160.97	0.32	531.77	1.03	110.78
0.29	0.48	0.00	0.38	1901.36	2702.10	2047.72	1623.66	1652.49	4.15	3.02	5206.26	9.28	2386.88	151.26	0.28	510.42	0.90	93.44
0.27	0.47	0.00	0.34	1939.08	2766.25	2115.77	1482.53	1446.43	4.53	3.64	4625.78	12.21	3114.67	146.08	0.33	459.07	1.20	123.73
0.28	0.49	0.00	0.35	1933.23	2744.10	2128.97	1438.28	1357.09	4.81	2.99	4515.46	11.65	3202.83	140.99	0.27	438.29	1.12	124.27
0.26	0.46	0.00	0.33	2023.37	2896.93	2108.76	1490.82	1422.28	5.80	3.30	4470.88	11.00	3608.29	149.27	0.31	450.74	1.10	144.93
0.27	0.45	0.00	0.35	2032.87	3238.67	2084.71	1682.09	1675.73	4.65	3.52	5377.74	8.52	2741.72	166.34	0.34	551.01	0.86	113.17
0.27	0.47	0.00	0.34	1934.94	2912.32	2107.99	1562.05	1564.16	4.71	3.44	4943.26	10.68	2782.36	152.55	0.33	496.99	1.06	111.82
0.27	0.46	0.00	0.37	2100.54	2964.94	2303.58	1954.41	1954.07	4.51	3.73	6282.16	9.49	2106.77	181.51	0.36	639.75	0.96	84.96
0.28	0.47	0.00	0.37	2078.88	3104.72	2241.50	1697.87	1636.45	4.94	3.31	5313.91	10.32	2988.01	165.58	0.31	535.98	1.03	125.00
0.27	0.47	0.00	0.34	2195.12	3090.14	2396.24	1345.87	1291.69	4.38	3.22	4242.22	11.63	4523.41	151.78	0.30	423.36	1.15	182.31
